Reading_ID,Household_ID,Region,Reading_Date,Electricity_kWh,Gas_Consumption_m3,Water_Liters,Temperature_C,Total_Energy_Units
READ0469,HH0124,Rural,2024-07-17,365.73,153.65,461.29,6.9,1906.37
READ0407,HH0291,South,2024-04-06,206.89,37.15,1877.01,19.2,557.46
READ0067,HH0015,West,2024-10-27,190.81,79.65,1231.28,16.7,990.2
READ0397,HH0256,East,2024-08-11,745.45,54.35,1839.09,22.5,1168.87
READ0240,HH0091,Coastal,2024-02-24,322.31,116.79,1640.02,31.5,1485.78
READ0544,HH0077,North,2024-10-13,488.1,88.48,1312.7,-3.1,1320.83
READ0557,HH0092,Coastal,2024-10-05,371.84,174.74,471.44,20.5,2132.71
READ0301,HH0273,North,2024-06-15,297.34,176.4,1365.73,19.2,2091.44
READ0281,HH0214,Coastal,2024-07-13,280.37,113.56,846.23,13.5,1417.52
READ0462,HH0065,West,2024-01-03,699.88,123.95,307.75,2.0,1861.69
READ0017,HH0035,Rural,2024-09-15,782.0,104.72,841.44,2.4,1726.0
READ0334,HH0098,Central,2024-08-13,680.66,168.51,1968.38,14.9,2315.85
READ0366,HH0129,Urban,2024-11-14,571.97,120.74,1679.39,0.2,1727.03
READ0232,HH0212,Coastal,2024-03-11,600.51,68.83,594.13,11.2,1203.72
READ0324,HH0274,West,2024-09-08,433.39,232.45,1349.55,24.7,2788.79
READ0179,HH0006,South,2024-04-26,707.9,52.58,1765.65,33.4,1120.18
READ0098,HH0049,North,2024-09-20,374.83,87.3,1182.36,10.7,1217.7
READ0060,HH0234,Rural,2024-11-11,98.13,80.46,792.24,27.6,924.13
READ0063,HH0287,East,2024-03-14,291.94,28.74,318.06,30.0,535.64
READ0155,HH0126,Coastal,2024-06-13,225.26,149.74,532.33,20.5,1753.01
READ0114,HH0084,Coastal,2024-07-18,106.07,298.2,770.95,8.8,3216.73
READ0187,HH0205,Central,2024-05-14,361.95,246.97,1059.05,28.7,2883.8
READ0395,HH0292,Coastal,2024-06-09,146.47,220.85,922.23,6.7,2437.02
READ0418,HH0029,Coastal,2024-01-22,630.36,196.6,345.05,13.0,2568.93
READ0393,HH0298,Rural,2024-09-28,579.34,260.33,882.89,27.7,3197.82
READ0341,HH0229,Urban,2024-11-17,726.79,149.92,358.75,33.0,2155.95
READ0458,HH0277,Central,2024-04-06,740.53,58.86,1012.39,8.3,1211.47
READ0377,HH0175,North,2024-04-17,745.18,137.97,1779.93,29.0,2046.61
READ0090,HH0266,East,2024-07-04,730.59,254.47,1619.6,7.2,3258.03
READ0297,HH0137,South,2024-08-15,463.75,90.2,1816.72,24.7,1319.92
READ0193,HH0107,East,2024-08-24,128.24,38.15,670.47,-3.6,503.84
READ0549,HH0211,Rural,2024-04-23,702.42,209.36,1605.91,-4.3,2761.82
READ0054,HH0108,Coastal,2024-04-27,549.75,222.9,1423.83,9.8,2781.67
READ0445,HH0285,North,2024-01-02,268.85,71.95,1934.5,6.5,972.49
READ0555,HH0266,North,2024-11-02,178.93,228.27,1062.42,22.5,2541.04
READ0188,HH0296,Central,2024-09-16,621.62,170.95,817.51,16.3,2293.09
READ0424,HH0253,Central,2024-05-04,416.59,293.51,513.45,13.7,3415.64
READ0027,HH0017,Urban,2024-02-02,664.16,199.44,1099.82,29.0,2626.55
READ0292,HH0143,Central,2024-01-11,697.27,36.19,363.27,14.8,938.17
READ0396,HH0085,Central,2024-02-21,453.88,15.52,1616.44,19.5,527.68
READ0165,HH0168,Coastal,2024-05-28,121.34,17.38,1611.67,16.3,281.17
READ0237,HH0212,West,2024-04-10,595.45,35.23,324.67,17.7,846.6
READ0429,HH0173,East,2024-02-07,453.01,263.1,1224.59,8.0,3126.18
READ0202,HH0174,West,2024-02-20,526.93,74.83,326.9,17.8,1207.59
READ0057,HH0195,Central,2024-08-11,788.03,200.3,981.15,9.1,2734.56
READ0131,HH0018,Urban,2024-04-16,773.6,245.79,751.16,0.8,3200.43
READ0470,HH0003,East,2024-10-28,681.53,108.69,913.96,33.1,1687.38
READ0441,HH0181,South,2024-05-24,213.16,139.09,1996.99,-5.0,1632.97
READ0411,HH0196,Central,2024-11-02,166.25,203.45,859.85,8.1,2270.08
READ0436,HH0267,Coastal,2024-11-14,726.03,169.47,1399.26,7.7,2361.66
READ0362,HH0262,Urban,2024-05-25,454.18,240.26,459.56,1.4,2886.53
READ0066,HH0264,Urban,2024-09-23,401.25,24.93,717.33,20.8,583.48
READ0472,HH0123,Central,2024-05-17,527.88,271.19,793.92,15.0,3270.59
READ0331,HH0100,West,2024-09-28,473.55,145.29,1579.82,18.4,1905.96
READ0253,HH0023,Coastal,2024-02-28,628.38,240.71,967.33,19.3,3031.13
READ0552,HH0126,West,2024-06-11,416.79,128.97,352.0,30.2,1687.97
READ0249,HH0227,North,2024-08-09,602.31,245.29,1057.39,-2.2,3058.45
READ0256,HH0294,North,2024-01-18,244.39,231.61,1140.86,20.8,2628.56
READ0349,HH0286,East,2024-04-22,335.78,182.45,765.12,8.6,2185.11
READ0475,HH0024,East,2024-07-02,266.2,216.25,1075.01,34.8,2484.66
READ0352,HH0171,Coastal,2024-04-07,81.57,55.64,1287.18,21.6,650.76
READ0278,HH0146,Urban,2024-04-05,658.8,243.52,849.05,4.6,3084.85
READ0055,HH0213,East,2024-01-27,241.29,26.57,301.65,4.7,472.32
READ0321,HH0215,West,2024-01-16,762.0,63.2,1825.13,3.6,1275.03
READ0285,HH0227,North,2024-04-21,380.67,271.86,310.9,31.2,3159.38
READ0144,HH0162,East,2024-07-26,749.09,57.81,241.82,31.2,1206.52
READ0521,HH0232,Coastal,2024-08-16,652.21,123.34,1785.76,25.1,1818.62
READ0374,HH0239,Central,2024-01-18,665.63,98.88,1373.3,34.2,1572.12
READ0420,HH0125,South,2024-04-23,251.23,,635.36,19.2,2713.74
READ0556,HH0056,South,2024-04-06,474.1,200.06,369.06,32.2,2480.28
READ0419,HH0251,Urban,2024-09-25,61.07,208.95,1864.03,3.1,2244.7
READ0252,HH0188,West,2024-12-06,299.02,199.83,1634.28,11.6,2339.07
READ0118,HH0165,Rural,2024-05-05,146.66,28.99,1010.05,28.7,422.73
READ0110,HH0143,North,2024-11-08,109.14,197.78,851.6,12.5,2164.85
READ0364,HH0067,North,2024-10-04,708.62,92.35,1761.86,0.5,1538.33
READ0398,HH0071,Coastal,2024-05-10,752.88,21.56,1913.38,2.1,830.6
READ0527,HH0167,Rural,2024-06-05,591.43,165.79,1847.56,20.3,2215.79
READ0486,HH0044,Rural,2024-06-10,716.01,79.73,1127.01,9.8,1411.1
READ0042,HH0131,East,2024-07-01,282.56,237.32,1607.15,33.0,2719.52
READ0296,HH0153,East,2024-10-19,515.05,110.21,991.08,25.9,1570.24
READ0092,HH0253,South,2024-05-26,128.93,276.74,1622.96,3.7,3010.54
READ0163,HH0076,North,2024-06-20,284.91,199.64,1582.71,16.3,2325.73
READ0032,HH0164,West,2024-09-19,132.92,39.54,1153.44,-2.5,522.66
READ0315,HH0143,South,2024-10-10,430.37,206.18,772.45,26.2,2509.96
READ0200,HH0211,North,2024-04-06,707.35,87.22,1560.62,15.1,1483.25
READ0030,HH0129,West,2024-04-27,218.67,214.45,1053.5,15.5,2427.71
READ0114,HH0084,Coastal,2024-07-18,106.07,298.2,770.95,8.8,3216.73
READ0239,HH0202,Coastal,2024-02-16,708.31,142.38,677.48,4.9,2062.32
READ0460,HH0236,Coastal,2024-09-05,610.65,,1245.84,11.5,2631.45
READ0141,HH0190,South,2024-01-17,341.5,70.61,1155.24,0.4,1015.76
READ0214,HH0274,North,2024-01-14,189.76,114.01,256.9,21.8,1349.17
READ0231,HH0073,South,2024-05-17,766.17,293.14,399.67,-4.8,3691.31
READ0095,HH0012,East,2024-03-10,227.92,129.59,773.32,18.8,1543.8
READ0246,HH0121,Coastal,2024-09-13,444.47,14.95,436.38,19.8,512.99
READ0288,HH0196,Coastal,2024-11-02,562.99,179.57,1040.41,26.6,2336.92
READ0120,HH0120,Rural,2024-08-04,355.41,220.24,481.97,3.3,2597.33
READ0183,HH0284,West,2024-04-24,314.86,225.77,718.29,31.4,2623.19
READ0476,HH0200,North,2024-09-02,154.0,244.01,968.27,-1.1,2686.27
READ0236,HH0079,Central,2024-11-27,67.11,219.06,1955.41,30.4,2355.77
READ0038,HH0163,East,2024-05-13,468.07,262.22,808.48,17.3,3128.57
READ0540,HH0051,Urban,2024-07-16,374.39,213.58,582.17,18.0,2542.68
READ0083,HH0143,North,2024-01-17,679.83,239.21,1935.46,28.1,3057.5
READ0268,HH0298,Central,2024-02-16,252.03,78.4,1842.19,9.7,1026.67
READ0035,HH0046,East,2024-04-01,677.62,239.17,315.57,34.7,3053.7
READ0091,HH0116,Urban,2024-05-04,563.54,228.06,952.77,-0.3,2846.41
READ0069,HH0267,Coastal,2024-07-03,155.14,93.39,1372.84,30.9,1106.08
READ0523,HH0011,East,2024-04-09,758.73,73.11,1296.29,29.8,1375.94
READ0219,HH0234,North,2024-11-16,748.46,244.71,1018.35,24.5,3169.24
READ0548,HH0167,Urban,2024-06-21,84.88,159.83,1756.59,4.9,1747.88
READ0323,HH0253,South,2024-01-01,442.33,295.2,1710.16,17.0,3455.17
READ0427,HH0177,Rural,2024-05-02,357.08,158.93,1045.45,33.0,1955.47
READ0273,HH0083,South,2024-10-09,371.12,104.24,1661.61,-1.6,1393.08
READ0104,HH0068,Urban,2024-12-17,480.49,17.4,1502.11,17.3,568.59
READ0210,HH0213,Coastal,2024-02-17,699.68,269.43,1608.43,18.6,3390.37
READ0534,HH0019,West,2024-01-10,333.06,166.0,1603.25,18.4,2011.05
READ0242,HH0012,Central,2024-10-08,247.15,227.97,228.82,32.9,2591.63
READ0531,HH0138,North,2024-06-07,107.17,174.9,1329.67,-0.0,1923.52
READ0560,HH0244,West,2024-02-10,200.57,259.47,243.18,13.9,2885.13
READ0124,HH0295,East,2024-01-15,335.53,79.13,924.04,28.2,1100.21
READ0052,HH0218,North,2024-07-04,179.13,200.09,449.7,5.7,2244.7
READ0087,HH0169,Central,2024-04-08,755.66,277.62,374.43,26.9,3519.91
READ0020,HH0079,North,2024-05-09,267.27,225.43,1400.91,6.5,2582.23
READ0206,HH0136,South,2024-10-11,516.28,12.45,247.64,-0.5,544.0
READ0347,HH0055,Urban,2024-09-23,277.96,43.79,1147.59,2.9,683.31
READ0243,HH0182,Central,2024-03-27,782.32,172.95,507.38,11.9,2442.34
READ0125,HH0111,East,2024-01-28,603.16,276.64,1361.14,5.5,3388.61
READ0365,HH0160,East,2024-09-20,750.14,,1763.41,30.7,3068.54
READ0010,HH0248,South,2024-05-22,520.54,151.41,280.24,0.3,2006.52
READ0044,HH0253,Central,2024-04-09,388.75,61.03,962.4,0.3,952.78
READ0477,HH0178,South,2024-02-02,326.33,164.29,716.92,19.0,1986.83
READ0354,HH0132,South,2024-10-05,275.46,234.62,1505.01,11.9,2685.38
READ0412,HH0135,Urban,2024-09-10,386.63,104.96,1625.38,14.2,1413.01
READ0108,HH0229,South,2024-07-22,,183.2,291.4,6.8,2099.92
READ0115,HH0270,Rural,2024-06-17,105.84,151.1,899.31,22.7,1672.12
READ0485,HH0196,North,2024-03-05,284.16,148.37,242.77,31.9,1785.46
READ0386,HH0290,North,2024-02-27,445.71,96.78,1326.91,-2.9,1374.08
READ0558,HH0273,West,2024-12-05,699.29,236.94,1721.26,16.1,3049.02
READ0184,HH0075,South,2024-12-15,74.82,45.83,1030.28,9.0,542.1
READ0086,HH0103,Coastal,2024-04-03,622.4,246.33,753.7,11.4,3085.14
READ0406,HH0258,Rural,2024-08-10,206.78,54.55,1328.39,-2.3,739.53
READ0148,HH0028,West,2024-03-17,366.5,71.51,234.85,21.4,1044.29
READ0136,HH0118,Rural,2024-04-18,333.37,290.71,471.37,22.0,3319.62
READ0546,HH0114,West,2024-09-02,145.81,64.67,728.55,10.5,796.41
READ0166,HH0113,Urban,2024-03-08,787.5,41.65,1582.86,0.9,1068.91
READ0308,HH0223,Rural,2024-06-02,189.44,269.67,1676.5,20.7,2984.76
READ0309,HH0123,East,2024-01-09,540.73,99.59,1642.15,11.0,1479.92
READ0056,HH0198,Urban,2024-04-28,238.49,211.88,635.47,17.4,2416.17
READ0061,HH0284,Coastal,2024-10-14,382.91,51.05,232.14,9.4,842.59
READ0362,HH0262,Urban,2024-05-25,454.18,240.26,459.56,1.4,2886.53
READ0305,HH0020,East,2024-03-14,116.6,125.57,776.71,12.9,1412.54
READ0391,HH0089,East,2024-11-05,351.17,201.98,774.26,21.9,2402.5
READ0404,HH0194,West,2024-09-17,735.01,35.18,1588.48,4.7,958.99
READ0094,HH0077,North,2024-11-26,602.95,73.28,388.16,19.5,1252.19
READ0439,HH0129,West,2024-02-28,191.16,138.86,1261.7,3.7,1612.22
READ0176,HH0070,West,2024-12-07,287.03,12.18,908.85,1.9,358.42
READ0284,HH0229,Coastal,2024-04-15,,27.36,1052.41,31.4,386.59
READ0455,HH0163,Coastal,2024-01-17,351.34,73.01,605.02,12.6,1048.28
READ0072,HH0155,Central,2024-12-01,793.08,150.47,1823.24,3.6,2216.22
READ0488,HH0235,West,2024-07-27,210.57,43.66,1397.13,28.3,628.28
READ0003,HH0250,West,2024-08-08,261.09,174.21,1454.37,18.6,2039.53
READ0071,HH0163,South,2024-10-20,418.82,133.09,729.29,-1.3,1733.23
READ0168,HH0209,Coastal,2024-02-23,752.65,169.27,1168.33,26.6,2380.62
READ0426,HH0094,South,2024-02-03,489.53,29.39,832.67,1.4,701.05
READ0355,HH0121,East,2024-04-12,357.18,36.27,696.01,34.9,667.28
READ0128,HH0276,Central,2024-05-15,135.13,130.37,1636.99,7.7,1478.63
READ0493,HH0200,East,2024-10-18,105.83,271.41,610.76,27.3,2935.08
READ0076,HH0144,West,2024-10-07,503.6,64.09,1724.71,-2.4,1077.55
READ0024,HH0209,Rural,2024-01-13,408.91,153.48,1992.17,25.9,1940.66
READ0230,HH0173,Central,2024-01-17,323.66,240.75,1404.83,12.2,2788.21
READ0325,HH0057,Central,2024-04-12,214.76,211.02,1888.43,18.3,2389.41
READ0079,HH0053,North,2024-01-09,79.56,169.27,1899.45,-2.5,1842.88
READ0255,HH0151,Coastal,2024-02-28,73.58,109.37,1474.63,0.3,1208.72
READ0058,HH0074,West,2024-04-23,559.1,55.05,950.01,6.1,1026.26
READ0008,HH0012,Coastal,2024-07-16,172.49,98.41,433.19,14.2,1171.73
READ0435,HH0053,Rural,2024-01-05,593.46,176.98,877.81,34.1,2333.94
READ0107,HH0043,East,2024-05-01,,225.42,822.19,-3.4,3001.74
READ0248,HH0269,Coastal,2024-03-06,427.06,26.68,1133.78,23.4,622.92
READ0509,HH0089,North,2024-06-18,496.04,24.03,774.56,7.1,649.92
READ0156,HH0196,North,2024-09-06,506.08,69.01,1582.48,29.9,1131.05
READ0266,HH0089,Coastal,2024-02-10,765.24,16.23,662.53,19.9,783.27
READ0440,HH0195,Urban,2024-12-28,295.54,126.63,329.59,29.7,1566.38
READ0028,HH0089,South,2024-12-08,105.91,28.35,1760.11,-1.3,384.16
READ0212,HH0065,South,2024-11-08,356.13,52.01,1830.16,33.5,832.84
READ0186,HH0175,Rural,2024-02-20,784.2,251.99,330.78,17.3,3273.59
READ0452,HH0115,Rural,2024-03-06,107.44,26.08,1424.16,32.9,361.22
READ0464,HH0235,Central,2024-04-09,367.09,244.88,1373.21,-3.2,2866.29
READ0478,HH0069,Rural,2024-07-18,333.96,30.92,850.52,23.8,592.68
READ0082,HH0186,Coastal,2024-04-06,383.41,284.9,1520.98,19.5,3299.7
READ0006,HH0156,Rural,2024-01-11,404.61,155.23,1295.25,12.8,1954.9
READ0089,HH0125,Rural,2024-03-27,239.47,40.36,1399.15,24.7,616.76
READ0312,HH0096,Urban,2024-04-08,503.41,263.77,277.25,7.3,3172.59
READ0093,HH0015,West,2024-01-28,503.18,226.57,680.25,32.1,2782.21
READ0433,HH0113,North,2024-12-17,509.36,201.03,515.58,28.7,2518.82
READ0316,HH0183,North,2024-01-16,674.75,290.07,600.08,22.3,3586.14
READ0145,HH0231,Rural,2024-11-03,501.87,178.76,1830.74,17.8,2280.31
READ0489,HH0168,Central,2024-10-24,507.42,121.87,1455.13,30.1,1687.03
READ0161,HH0042,Rural,2024-02-27,667.12,273.47,1363.79,1.7,3406.49
READ0199,HH0025,West,2024-02-20,335.79,229.45,1925.67,30.2,2679.78
READ0187,HH0205,Central,2024-05-14,361.95,246.97,1059.05,,2883.8
READ0311,HH0211,West,2024-01-21,189.96,186.73,925.39,-4.0,2113.56
READ0317,HH0254,West,2024-08-16,383.39,225.46,1207.95,19.9,2675.25
READ0204,HH0226,Central,2024-11-28,763.29,125.18,1368.51,26.6,1926.39
READ0289,HH0074,South,2024-02-21,114.72,115.21,243.3,0.2,1301.72
READ0279,HH0053,Urban,2024-08-17,65.97,38.47,463.89,14.6,457.17
READ0099,HH0090,Central,2024-12-26,592.07,225.88,1024.07,-4.2,2846.42
READ0320,HH0097,North,2024-11-02,230.79,167.94,1322.54,14.8,1949.32
READ0234,HH0268,Central,2024-03-05,242.17,261.73,1761.86,17.6,2943.66
READ0368,HH0189,South,2024-11-02,492.64,122.08,293.07,4.2,1676.25
READ0153,HH0023,Central,2024-08-08,201.94,233.23,1677.21,14.3,2612.14
READ0506,HH0277,Coastal,2024-05-06,647.96,67.12,1265.35,7.8,1224.39
READ0043,HH0031,East,2024-10-05,669.32,199.79,433.76,10.3,2633.68
READ0078,HH0206,Central,2024-09-02,599.84,50.84,1069.17,25.0,1014.76
READ0050,HH0128,Central,2024-03-07,100.2,79.37,1926.22,34.0,915.47
READ0233,HH0062,West,2024-09-05,677.83,19.5,838.53,34.6,747.85
READ0524,HH0062,West,2024-11-24,401.28,137.55,567.94,26.5,1765.87
READ0519,HH0238,East,2024-12-23,150.85,295.23,352.59,4.0,3220.95
READ0402,HH0248,Central,2024-06-08,263.14,258.59,1647.6,31.1,2927.35
READ0208,HH0140,North,2024-08-04,403.46,24.04,1771.25,16.5,576.96
READ0190,HH0196,East,2024-02-10,748.11,,721.95,4.9,2915.51
READ0421,HH0163,South,2024-04-16,,17.71,748.69,2.3,626.81
READ0037,HH0169,Central,2024-01-08,393.3,61.17,1965.32,2.0,958.89
READ0491,HH0192,East,2024-09-10,481.0,254.49,925.6,-3.8,3057.87
READ0271,HH0051,North,2024-11-24,660.64,267.21,585.79,-2.2,3334.8
READ0159,HH0186,East,2024-10-07,596.61,201.99,702.31,11.9,2598.89
READ0111,HH0196,Urban,2024-07-04,775.54,194.87,300.17,17.9,
READ0197,HH0024,Central,2024-11-10,376.63,45.31,1077.28,3.6,778.14
READ0487,HH0090,East,2024-07-26,743.78,59.37,1229.03,-2.2,1219.64
READ0018,HH0070,Rural,2024-04-09,554.8,244.25,405.13,17.5,3008.87
READ0269,HH0148,Rural,2024-08-08,392.6,148.66,907.4,0.3,1875.92
READ0025,HH0074,North,2024-10-02,232.07,283.4,1767.47,24.4,3163.12
READ0381,HH0134,Urban,2024-04-08,569.67,106.17,616.33,20.6,1571.14
READ0182,HH0143,Rural,2024-06-12,450.95,79.82,1925.08,0.5,1200.8
READ0265,HH0273,South,2024-10-27,196.38,32.28,1882.42,12.7,497.93
READ0216,HH0121,Urban,2024-08-23,195.03,228.89,1277.29,26.4,2560.65
READ0457,HH0014,West,2024-02-05,707.37,178.39,800.7,11.3,2439.79
READ0196,HH0276,Rural,2024-05-14,166.49,258.5,976.58,31.6,2848.42
READ0310,HH0230,East,2024-09-04,513.69,251.97,487.86,33.8,3057.12
READ0399,HH0119,Coastal,2024-07-17,769.92,289.68,377.66,27.0,3657.95
READ0016,HH0019,West,2024-03-22,262.0,161.42,1842.45,29.4,1906.35
READ0378,HH0105,East,2024-01-27,378.54,83.78,1480.34,9.7,1184.0
READ0164,HH0200,North,2024-01-09,316.32,130.09,1561.96,2.7,1620.56
READ0545,HH0274,West,2024-01-09,506.99,122.91,1197.27,10.2,1697.34
READ0415,HH0279,South,2024-12-01,130.37,179.25,1566.23,19.5,1987.99
